,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:59:52.411000,VER,1,0 days 00:01:31.677000,1.0,1.0,,,,38.489,32.363,,0 days 00:59:20.279000,0 days 00:59:52.515000,284.0,293.0,213.0,307.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:58:20.522000,2025-12-07 13:03:27.585,1,1.0,False,,False,False,91.677,
1,0 days 01:01:21.528000,VER,1,0 days 00:01:29.117000,2.0,1.0,,,18.085,38.383,32.649,0 days 01:00:10.571000,0 days 01:00:48.954000,0 days 01:01:21.603000,283.0,294.0,211.0,303.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:59:52.411000,2025-12-07 13:04:59.474,1,1.0,False,,False,True,89.117,89.117
2,0 days 01:02:51.083000,VER,1,0 days 00:01:29.555000,3.0,1.0,,,18.197,38.495,32.863,0 days 01:01:39.800000,0 days 01:02:18.295000,0 days 01:02:51.158000,281.0,294.0,212.0,304.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 01:01:21.528000,2025-12-07 13:06:28.591,1,1.0,False,,False,True,89.555,89.55499999999999
3,0 days 01:04:20.646000,VER,1,0 days 00:01:29.563000,4.0,1.0,,,18.253,38.441,32.869,0 days 01:03:09.411000,0 days 01:03:47.852000,0 days 01:04:20.721000,,296.0,211.0,306.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:02:51.083000,2025-12-07 13:07:58.146,1,1.0,False,,False,True,89.563,89.563
4,0 days 01:05:50.341000,VER,1,0 days 00:01:29.695000,5.0,1.0,,,18.142,38.529,33.024,0 days 01:04:38.863000,0 days 01:05:17.392000,0 days 01:05:50.416000,283.0,295.0,211.0,305.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:04:20.646000,2025-12-07 13:09:27.709,1,1.0,False,,False,True,89.695,89.69500000000001
5,0 days 01:07:20.113000,VER,1,0 days 00:01:29.772000,6.0,1.0,,,18.25,38.579,32.943,0 days 01:06:08.666000,0 days 01:06:47.245000,0 days 01:07:20.188000,,296.0,211.0,306.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:05:50.341000,2025-12-07 13:10:57.404,1,1.0,False,,False,True,89.772,89.77199999999999
6,0 days 01:08:49.857000,VER,1,0 days 00:01:29.744000,7.0,1.0,,,18.187,38.496,33.061,0 days 01:07:38.375000,0 days 01:08:16.871000,0 days 01:08:49.932000,,298.0,211.0,308.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:07:20.113000,2025-12-07 13:12:27.176,1,1.0,False,,False,True,89.744,89.744
7,0 days 01:10:19.458000,VER,1,0 days 00:01:29.601000,8.0,1.0,,,18.136,38.42,33.045,0 days 01:09:08.068000,0 days 01:09:46.488000,0 days 01:10:19.533000,284.0,297.0,211.0,306.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:08:49.857000,2025-12-07 13:13:56.920,1,1.0,False,,False,True,89.601,89.601
8,0 days 01:11:48.871000,VER,1,0 days 00:01:29.413000,9.0,1.0,,,18.146,38.494,32.773,0 days 01:10:37.679000,0 days 01:11:16.173000,0 days 01:11:48.946000,283.0,297.0,210.0,306.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:10:19.458000,2025-12-07 13:15:26.521,1,1.0,False,,False,True,89.413,89.41300000000001
9,0 days 01:13:18.336000,VER,1,0 days 00:01:29.465000,10.0,1.0,,,18.12,38.396,32.949,0 days 01:12:07.066000,0 days 01:12:45.462000,0 days 01:13:18.411000,284.0,295.0,209.0,307.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:11:48.871000,2025-12-07 13:16:55.934,1,1.0,False,,False,True,89.465,89.465
10,0 days 01:14:47.874000,VER,1,0 days 00:01:29.538000,11.0,1.0,,,18.143,38.496,32.899,0 days 01:13:36.554000,0 days 01:14:15.050000,0 days 01:14:47.949000,,297.0,210.0,306.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:13:18.336000,2025-12-07 13:18:25.399,1,1.0,False,,False,True,89.538,89.53800000000001
11,0 days 01:16:17.417000,VER,1,0 days 00:01:29.543000,12.0,1.0,,,18.12,38.567,32.856,0 days 01:15:06.069000,0 days 01:15:44.636000,0 days 01:16:17.492000,,296.0,211.0,306.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:14:47.874000,2025-12-07 13:19:54.937,1,1.0,False,,False,True,89.543,89.543
12,0 days 01:17:47.050000,VER,1,0 days 00:01:29.633000,13.0,1.0,,,18.044,38.531,33.058,0 days 01:16:35.536000,0 days 01:17:14.067000,0 days 01:17:47.125000,285.0,295.0,210.0,307.0,False,MEDIUM,13.0,True,Red Bull Racing,0 days 01:16:17.417000,2025-12-07 13:21:24.480,1,1.0,False,,False,True,89.633,89.63300000000001
13,0 days 01:19:16.576000,VER,1,0 days 00:01:29.526000,14.0,1.0,,,17.984,38.599,32.943,0 days 01:18:05.109000,0 days 01:18:43.708000,0 days 01:19:16.651000,286.0,297.0,211.0,305.0,False,MEDIUM,14.0,True,Red Bull Racing,0 days 01:17:47.050000,2025-12-07 13:22:54.113,1,1.0,False,,False,True,89.526,89.526
14,0 days 01:20:46.279000,VER,1,0 days 00:01:29.703000,15.0,1.0,,,17.993,38.622,33.088,0 days 01:19:34.644000,0 days 01:20:13.266000,0 days 01:20:46.354000,285.0,295.0,211.0,302.0,False,MEDIUM,15.0,True,Red Bull Racing,0 days 01:19:16.576000,2025-12-07 13:24:23.639,1,1.0,False,,False,True,89.703,89.703
15,0 days 01:22:15.739000,VER,1,0 days 00:01:29.460000,16.0,1.0,,,18.045,38.597,32.818,0 days 01:21:04.399000,0 days 01:21:42.996000,0 days 01:22:15.814000,,296.0,210.0,303.0,False,MEDIUM,16.0,True,Red Bull Racing,0 days 01:20:46.279000,2025-12-07 13:25:53.342,1,1.0,False,,False,True,89.46,89.46000000000001
16,0 days 01:23:45.317000,VER,1,0 days 00:01:29.578000,17.0,1.0,,,18.012,38.682,32.884,0 days 01:22:33.826000,0 days 01:23:12.508000,0 days 01:23:45.392000,286.0,296.0,210.0,298.0,False,MEDIUM,17.0,True,Red Bull Racing,0 days 01:22:15.739000,2025-12-07 13:27:22.802,1,1.0,False,,False,True,89.578,89.578
17,0 days 01:25:14.913000,VER,1,0 days 00:01:29.596000,18.0,1.0,,,18.064,38.646,32.886,0 days 01:24:03.456000,0 days 01:24:42.102000,0 days 01:25:14.988000,284.0,296.0,211.0,304.0,False,MEDIUM,18.0,True,Red Bull Racing,0 days 01:23:45.317000,2025-12-07 13:28:52.380,1,1.0,False,,False,True,89.596,89.596
18,0 days 01:26:44.527000,VER,1,0 days 00:01:29.614000,19.0,1.0,,,17.981,38.709,32.924,0 days 01:25:32.969000,0 days 01:26:11.678000,0 days 01:26:44.602000,285.0,295.0,211.0,303.0,False,MEDIUM,19.0,True,Red Bull Racing,0 days 01:25:14.913000,2025-12-07 13:30:21.976,1,1.0,False,,False,True,89.614,89.614
19,0 days 01:28:14.084000,VER,1,0 days 00:01:29.557000,20.0,1.0,,,18.01,38.667,32.88,0 days 01:27:02.612000,0 days 01:27:41.279000,0 days 01:28:14.159000,284.0,296.0,211.0,302.0,False,MEDIUM,20.0,True,Red Bull Racing,0 days 01:26:44.527000,2025-12-07 13:31:51.590,1,1.0,False,,False,True,89.557,89.55700000000002
20,0 days 01:29:43.525000,VER,1,0 days 00:01:29.441000,21.0,1.0,,,17.873,38.788,32.78,0 days 01:28:32.032000,0 days 01:29:10.820000,0 days 01:29:43.600000,,296.0,210.0,302.0,False,MEDIUM,21.0,True,Red Bull Racing,0 days 01:28:14.084000,2025-12-07 13:33:21.147,1,1.0,False,,False,True,89.441,89.441
21,0 days 01:31:12.768000,VER,1,0 days 00:01:29.243000,22.0,1.0,,,17.869,38.589,32.785,0 days 01:30:01.469000,0 days 01:30:40.058000,0 days 01:31:12.843000,286.0,298.0,211.0,299.0,False,MEDIUM,22.0,True,Red Bull Racing,0 days 01:29:43.525000,2025-12-07 13:34:50.588,1,1.0,False,,False,True,89.243,89.243
22,0 days 01:32:44.133000,VER,1,0 days 00:01:31.365000,23.0,1.0,,0 days 01:32:43.105000,17.903,38.59,34.872,0 days 01:31:30.746000,0 days 01:32:09.336000,0 days 01:32:44.208000,287.0,299.0,,300.0,False,MEDIUM,23.0,True,Red Bull Racing,0 days 01:31:12.768000,2025-12-07 13:36:19.831,1,1.0,False,,False,False,91.365,91.36500000000001
23,0 days 01:34:33.056000,VER,1,0 days 00:01:48.923000,24.0,2.0,0 days 01:33:04.789000,,38.129,38.518,32.276,0 days 01:33:22.337000,0 days 01:34:00.855000,0 days 01:34:33.131000,285.0,295.0,214.0,297.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:32:44.133000,2025-12-07 13:37:51.196,1,2.0,False,,False,False,108.923,108.923
24,0 days 01:36:01.749000,VER,1,0 days 00:01:28.693000,25.0,2.0,,,17.857,38.251,32.585,0 days 01:34:50.988000,0 days 01:35:29.239000,0 days 01:36:01.824000,286.0,295.0,214.0,299.0,True,HARD,2.0,True,Red Bull Racing,0 days 01:34:33.056000,2025-12-07 13:39:40.119,1,2.0,False,,False,True,88.693,88.693
25,0 days 01:37:30.061000,VER,1,0 days 00:01:28.312000,26.0,2.0,,,17.846,38.185,32.281,0 days 01:36:19.670000,0 days 01:36:57.855000,0 days 01:37:30.136000,287.0,298.0,212.0,301.0,True,HARD,3.0,True,Red Bull Racing,0 days 01:36:01.749000,2025-12-07 13:41:08.812,1,2.0,False,,False,True,88.312,88.31200000000001
26,0 days 01:38:58.388000,VER,1,0 days 00:01:28.327000,27.0,2.0,,,17.789,38.265,32.273,0 days 01:37:47.925000,0 days 01:38:26.190000,0 days 01:38:58.463000,286.0,298.0,214.0,301.0,False,HARD,4.0,True,Red Bull Racing,0 days 01:37:30.061000,2025-12-07 13:42:37.124,1,2.0,False,,False,True,88.327,88.327
27,0 days 01:40:26.759000,VER,1,0 days 00:01:28.371000,28.0,2.0,,,17.801,38.338,32.232,0 days 01:39:16.264000,0 days 01:39:54.602000,0 days 01:40:26.834000,287.0,299.0,214.0,302.0,False,HARD,5.0,True,Red Bull Racing,0 days 01:38:58.388000,2025-12-07 13:44:05.451,1,2.0,False,,False,True,88.371,88.371
28,0 days 01:41:54.762000,VER,1,0 days 00:01:28.003000,29.0,2.0,,,17.794,38.125,32.084,0 days 01:40:44.628000,0 days 01:41:22.753000,0 days 01:41:54.837000,284.0,298.0,214.0,303.0,True,HARD,6.0,True,Red Bull Racing,0 days 01:40:26.759000,2025-12-07 13:45:33.822,1,2.0,False,,False,True,88.003,88.003
29,0 days 01:43:22.811000,VER,1,0 days 00:01:28.049000,30.0,2.0,,,17.754,38.208,32.087,0 days 01:42:12.591000,0 days 01:42:50.799000,0 days 01:43:22.886000,286.0,296.0,214.0,302.0,False,HARD,7.0,True,Red Bull Racing,0 days 01:41:54.762000,2025-12-07 13:47:01.825,1,2.0,False,,False,True,88.049,88.049
30,0 days 01:44:50.655000,VER,1,0 days 00:01:27.844000,31.0,2.0,,,17.675,38.108,32.061,0 days 01:43:40.561000,0 days 01:44:18.669000,0 days 01:44:50.730000,287.0,299.0,215.0,302.0,True,HARD,8.0,True,Red Bull Racing,0 days 01:43:22.811000,2025-12-07 13:48:29.874,1,2.0,False,,False,True,87.844,87.844
31,0 days 01:46:18.456000,VER,1,0 days 00:01:27.801000,32.0,2.0,,,17.606,38.134,32.061,0 days 01:45:08.336000,0 days 01:45:46.470000,0 days 01:46:18.531000,284.0,297.0,214.0,303.0,True,HARD,9.0,True,Red Bull Racing,0 days 01:44:50.655000,2025-12-07 13:49:57.718,1,2.0,False,,False,True,87.801,87.801
32,0 days 01:47:46.365000,VER,1,0 days 00:01:27.909000,33.0,2.0,,,17.659,38.1,32.15,0 days 01:46:36.190000,0 days 01:47:14.290000,0 days 01:47:46.440000,285.0,299.0,214.0,303.0,False,HARD,10.0,True,Red Bull Racing,0 days 01:46:18.456000,2025-12-07 13:51:25.519,1,2.0,False,,False,True,87.909,87.90899999999999
33,0 days 01:49:14.289000,VER,1,0 days 00:01:27.924000,34.0,2.0,,,17.609,38.255,32.06,0 days 01:48:04.049000,0 days 01:48:42.304000,0 days 01:49:14.364000,,298.0,214.0,302.0,False,HARD,11.0,True,Red Bull Racing,0 days 01:47:46.365000,2025-12-07 13:52:53.428,1,2.0,False,,False,True,87.924,87.924
34,0 days 01:50:42.270000,VER,1,0 days 00:01:27.981000,35.0,2.0,,,17.602,38.119,32.26,0 days 01:49:31.966000,0 days 01:50:10.085000,0 days 01:50:42.345000,287.0,298.0,213.0,303.0,False,HARD,12.0,True,Red Bull Racing,0 days 01:49:14.289000,2025-12-07 13:54:21.352,1,2.0,False,,False,True,87.981,87.981
35,0 days 01:52:10.080000,VER,1,0 days 00:01:27.810000,36.0,2.0,,,17.632,38.041,32.137,0 days 01:50:59.977000,0 days 01:51:38.018000,0 days 01:52:10.155000,286.0,300.0,214.0,304.0,False,HARD,13.0,True,Red Bull Racing,0 days 01:50:42.270000,2025-12-07 13:55:49.333,1,2.0,False,,False,True,87.81,87.81
36,0 days 01:53:37.825000,VER,1,0 days 00:01:27.745000,37.0,2.0,,,17.557,38.156,32.032,0 days 01:52:27.712000,0 days 01:53:05.868000,0 days 01:53:37.900000,287.0,298.0,212.0,304.0,True,HARD,14.0,True,Red Bull Racing,0 days 01:52:10.080000,2025-12-07 13:57:17.143,1,2.0,False,,False,True,87.745,87.74499999999999
37,0 days 01:55:05.576000,VER,1,0 days 00:01:27.751000,38.0,2.0,,,17.575,38.148,32.028,0 days 01:53:55.475000,0 days 01:54:33.623000,0 days 01:55:05.651000,288.0,299.0,213.0,304.0,False,HARD,15.0,True,Red Bull Racing,0 days 01:53:37.825000,2025-12-07 13:58:44.888,1,2.0,False,,False,True,87.751,87.751
38,0 days 01:56:33.201000,VER,1,0 days 00:01:27.625000,39.0,2.0,,,17.51,38.035,32.08,0 days 01:55:23.161000,0 days 01:56:01.196000,0 days 01:56:33.276000,289.0,300.0,213.0,305.0,True,HARD,16.0,True,Red Bull Racing,0 days 01:55:05.576000,2025-12-07 14:00:12.639,1,2.0,False,,False,True,87.625,87.625
39,0 days 01:58:01.343000,VER,1,0 days 00:01:28.142000,40.0,2.0,,,17.583,38.257,32.302,0 days 01:56:50.859000,0 days 01:57:29.116000,0 days 01:58:01.418000,,299.0,213.0,308.0,False,HARD,17.0,True,Red Bull Racing,0 days 01:56:33.201000,2025-12-07 14:01:40.264,1,2.0,False,,False,True,88.142,88.142
40,0 days 01:59:29.316000,VER,1,0 days 00:01:27.973000,41.0,2.0,,,17.673,38.052,32.248,0 days 01:58:19.091000,0 days 01:58:57.143000,0 days 01:59:29.391000,295.0,297.0,213.0,335.0,False,HARD,18.0,True,Red Bull Racing,0 days 01:58:01.343000,2025-12-07 14:03:08.406,1,1.0,False,,False,True,87.973,87.97299999999998
41,0 days 02:00:57.536000,VER,1,0 days 00:01:28.220000,42.0,2.0,,,17.584,38.4,32.236,0 days 01:59:46.975000,0 days 02:00:25.375000,0 days 02:00:57.611000,284.0,295.0,215.0,303.0,False,HARD,19.0,True,Red Bull Racing,0 days 01:59:29.316000,2025-12-07 14:04:36.379,1,1.0,False,,False,True,88.22,88.22
42,0 days 02:02:25.471000,VER,1,0 days 00:01:27.935000,43.0,2.0,,,17.523,38.375,32.037,0 days 02:01:15.134000,0 days 02:01:53.509000,0 days 02:02:25.546000,288.0,298.0,215.0,303.0,False,HARD,20.0,True,Red Bull Racing,0 days 02:00:57.536000,2025-12-07 14:06:04.599,1,1.0,False,,False,True,87.935,87.935
43,0 days 02:03:53.364000,VER,1,0 days 00:01:27.893000,44.0,2.0,,,17.48,38.303,32.11,0 days 02:02:43.026000,0 days 02:03:21.329000,0 days 02:03:53.439000,289.0,296.0,215.0,305.0,False,HARD,21.0,True,Red Bull Racing,0 days 02:02:25.471000,2025-12-07 14:07:32.534,1,1.0,False,,False,True,87.893,87.893
44,0 days 02:05:21.116000,VER,1,0 days 00:01:27.752000,45.0,2.0,,,17.539,38.283,31.93,0 days 02:04:10.978000,0 days 02:04:49.261000,0 days 02:05:21.191000,286.0,297.0,214.0,306.0,False,HARD,22.0,True,Red Bull Racing,0 days 02:03:53.364000,2025-12-07 14:09:00.427,1,1.0,True,TRACK LIMITS AT TURN 1 LAP 45 ,False,True,87.752,87.75200000000001
45,0 days 02:06:49.077000,VER,1,0 days 00:01:27.961000,46.0,2.0,,,17.412,38.324,32.225,0 days 02:05:38.603000,0 days 02:06:16.927000,0 days 02:06:49.152000,291.0,297.0,212.0,305.0,False,HARD,23.0,True,Red Bull Racing,0 days 02:05:21.116000,2025-12-07 14:10:28.179,1,1.0,False,,False,True,87.961,87.961
46,0 days 02:08:16.948000,VER,1,0 days 00:01:27.871000,47.0,2.0,,,17.479,38.241,32.151,0 days 02:07:06.631000,0 days 02:07:44.872000,0 days 02:08:17.023000,290.0,298.0,215.0,306.0,False,HARD,24.0,True,Red Bull Racing,0 days 02:06:49.077000,2025-12-07 14:11:56.140,1,1.0,False,,False,True,87.871,87.87100000000001
47,0 days 02:09:44.766000,VER,1,0 days 00:01:27.818000,48.0,2.0,,,17.43,38.268,32.12,0 days 02:08:34.453000,0 days 02:09:12.721000,0 days 02:09:44.841000,289.0,297.0,214.0,306.0,False,HARD,25.0,True,Red Bull Racing,0 days 02:08:16.948000,2025-12-07 14:13:24.011,1,1.0,False,,False,True,87.818,87.818
48,0 days 02:11:12.516000,VER,1,0 days 00:01:27.750000,49.0,2.0,,,17.496,38.185,32.069,0 days 02:10:02.337000,0 days 02:10:40.522000,0 days 02:11:12.591000,,296.0,213.0,306.0,False,HARD,26.0,True,Red Bull Racing,0 days 02:09:44.766000,2025-12-07 14:14:51.829,1,1.0,False,,False,True,87.75,87.75
49,0 days 02:12:40.502000,VER,1,0 days 00:01:27.986000,50.0,2.0,,,17.462,38.3,32.224,0 days 02:11:30.053000,0 days 02:12:08.353000,0 days 02:12:40.577000,,298.0,213.0,308.0,False,HARD,27.0,True,Red Bull Racing,0 days 02:11:12.516000,2025-12-07 14:16:19.579,1,1.0,False,,False,True,87.986,87.98599999999999
50,0 days 02:14:08.485000,VER,1,0 days 00:01:27.983000,51.0,2.0,,,17.478,38.204,32.301,0 days 02:12:58.055000,0 days 02:13:36.259000,0 days 02:14:08.560000,288.0,298.0,214.0,306.0,False,HARD,28.0,True,Red Bull Racing,0 days 02:12:40.502000,2025-12-07 14:17:47.565,1,1.0,True,TRACK LIMITS AT TURN 1 LAP 51 ,False,True,87.983,87.983
51,0 days 02:15:36.940000,VER,1,0 days 00:01:28.455000,52.0,2.0,,,17.54,38.512,32.403,0 days 02:14:26.100000,0 days 02:15:04.612000,0 days 02:15:37.015000,290.0,298.0,213.0,307.0,False,HARD,29.0,True,Red Bull Racing,0 days 02:14:08.485000,2025-12-07 14:19:15.548,1,1.0,False,,False,True,88.455,88.455
52,0 days 02:17:05.335000,VER,1,0 days 00:01:28.395000,53.0,2.0,,,17.619,38.348,32.428,0 days 02:15:54.634000,0 days 02:16:32.982000,0 days 02:17:05.410000,291.0,301.0,213.0,307.0,False,HARD,30.0,True,Red Bull Racing,0 days 02:15:36.940000,2025-12-07 14:20:44.003,1,1.0,False,,False,True,88.395,88.395
53,0 days 02:18:33.510000,VER,1,0 days 00:01:28.175000,54.0,2.0,,,17.581,38.408,32.186,0 days 02:17:22.991000,0 days 02:18:01.399000,0 days 02:18:33.585000,292.0,300.0,213.0,307.0,False,HARD,31.0,True,Red Bull Racing,0 days 02:17:05.335000,2025-12-07 14:22:12.398,1,1.0,False,,False,True,88.175,88.17500000000001
54,0 days 02:20:02.327000,VER,1,0 days 00:01:28.817000,55.0,2.0,,,17.572,38.594,32.651,0 days 02:18:51.157000,0 days 02:19:29.751000,0 days 02:20:02.402000,287.0,298.0,212.0,306.0,False,HARD,32.0,True,Red Bull Racing,0 days 02:18:33.510000,2025-12-07 14:23:40.573,1,1.0,False,,False,True,88.817,88.81700000000001
55,0 days 02:21:30.948000,VER,1,0 days 00:01:28.621000,56.0,2.0,,,17.539,38.458,32.624,0 days 02:20:19.941000,0 days 02:20:58.399000,0 days 02:21:31.023000,292.0,298.0,212.0,305.0,False,HARD,33.0,True,Red Bull Racing,0 days 02:20:02.327000,2025-12-07 14:25:09.390,1,1.0,False,,False,True,88.621,88.62100000000001
56,0 days 02:22:59.730000,VER,1,0 days 00:01:28.782000,57.0,2.0,,,17.698,38.444,32.64,0 days 02:21:48.721000,0 days 02:22:27.165000,0 days 02:22:59.805000,291.0,301.0,212.0,310.0,False,HARD,34.0,True,Red Bull Racing,0 days 02:21:30.948000,2025-12-07 14:26:38.011,1,1.0,False,,False,True,88.782,88.78200000000001
57,0 days 02:24:28.203000,VER,1,0 days 00:01:28.473000,58.0,2.0,,,17.574,38.453,32.446,0 days 02:23:17.379000,0 days 02:23:55.832000,0 days 02:24:28.278000,,298.0,214.0,306.0,False,HARD,35.0,True,Red Bull Racing,0 days 02:22:59.730000,2025-12-07 14:28:06.793,1,1.0,False,,False,True,88.473,88.473
58,0 days 00:59:53.640000,PIA,81,0 days 00:01:32.906000,1.0,1.0,,,,38.376,32.983,,0 days 00:59:20.904000,0 days 00:59:53.640000,286.0,304.0,214.0,309.0,False,HARD,1.0,True,McLaren,0 days 00:58:20.522000,2025-12-07 13:03:27.585,1,2.0,False,,False,False,92.906,
59,0 days 01:01:23.454000,PIA,81,0 days 00:01:29.814000,2.0,1.0,,,18.301,38.534,32.979,0 days 01:00:11.941000,0 days 01:00:50.475000,0 days 01:01:23.454000,282.0,294.0,213.0,300.0,True,HARD,2.0,True,McLaren,0 days 00:59:53.640000,2025-12-07 13:05:00.703,1,2.0,False,,False,True,89.814,89.814
60,0 days 01:02:52.979000,PIA,81,0 days 00:01:29.525000,3.0,1.0,,,18.106,38.444,32.975,0 days 01:01:41.560000,0 days 01:02:20.004000,0 days 01:02:52.979000,283.0,296.0,212.0,301.0,True,HARD,3.0,True,McLaren,0 days 01:01:23.454000,2025-12-07 13:06:30.517,1,2.0,False,,False,True,89.525,89.525
61,0 days 01:04:22.905000,PIA,81,0 days 00:01:29.926000,4.0,1.0,,,18.288,38.523,33.115,0 days 01:03:11.267000,0 days 01:03:49.790000,0 days 01:04:22.905000,,293.0,211.0,301.0,False,HARD,4.0,True,McLaren,0 days 01:02:52.979000,2025-12-07 13:08:00.042,1,2.0,False,,False,True,89.926,89.92600000000002
62,0 days 01:05:52.663000,PIA,81,0 days 00:01:29.758000,5.0,1.0,,,18.242,38.434,33.082,0 days 01:04:41.147000,0 days 01:05:19.581000,0 days 01:05:52.663000,282.0,293.0,212.0,304.0,False,HARD,5.0,True,McLaren,0 days 01:04:22.905000,2025-12-07 13:09:29.968,1,2.0,False,,False,True,89.758,89.75800000000001
63,0 days 01:07:22.450000,PIA,81,0 days 00:01:29.787000,6.0,1.0,,,18.335,38.487,32.965,0 days 01:06:10.998000,0 days 01:06:49.485000,0 days 01:07:22.450000,283.0,296.0,210.0,305.0,False,HARD,6.0,True,McLaren,0 days 01:05:52.663000,2025-12-07 13:10:59.726,1,2.0,False,,False,True,89.787,89.787
64,0 days 01:08:52.018000,PIA,81,0 days 00:01:29.568000,7.0,1.0,,,18.125,38.443,33.0,0 days 01:07:40.575000,0 days 01:08:19.018000,0 days 01:08:52.018000,285.0,295.0,211.0,305.0,False,HARD,7.0,True,McLaren,0 days 01:07:22.450000,2025-12-07 13:12:29.513,1,2.0,False,,False,True,89.568,89.568
65,0 days 01:10:21.514000,PIA,81,0 days 00:01:29.496000,8.0,1.0,,,18.208,38.438,32.85,0 days 01:09:10.226000,0 days 01:09:48.664000,0 days 01:10:21.514000,283.0,296.0,211.0,305.0,True,HARD,8.0,True,McLaren,0 days 01:08:52.018000,2025-12-07 13:13:59.081,1,2.0,False,,False,True,89.496,89.49600000000001
66,0 days 01:11:51.085000,PIA,81,0 days 00:01:29.571000,9.0,1.0,,,18.052,38.576,32.943,0 days 01:10:39.566000,0 days 01:11:18.142000,0 days 01:11:51.085000,285.0,296.0,208.0,305.0,False,HARD,9.0,True,McLaren,0 days 01:10:21.514000,2025-12-07 13:15:28.577,1,2.0,False,,False,True,89.571,89.571
67,0 days 01:13:20.553000,PIA,81,0 days 00:01:29.468000,10.0,1.0,,,18.018,38.452,32.998,0 days 01:12:09.103000,0 days 01:12:47.555000,0 days 01:13:20.553000,287.0,294.0,210.0,305.0,True,HARD,10.0,True,McLaren,0 days 01:11:51.085000,2025-12-07 13:16:58.148,1,2.0,False,,False,True,89.468,89.46799999999999
68,0 days 01:14:50.019000,PIA,81,0 days 00:01:29.466000,11.0,1.0,,,18.011,38.507,32.948,0 days 01:13:38.564000,0 days 01:14:17.071000,0 days 01:14:50.019000,,294.0,209.0,304.0,True,HARD,11.0,True,McLaren,0 days 01:13:20.553000,2025-12-07 13:18:27.616,1,2.0,False,,False,True,89.466,89.46600000000001
69,0 days 01:16:19.511000,PIA,81,0 days 00:01:29.492000,12.0,1.0,,,18.021,38.427,33.044,0 days 01:15:08.040000,0 days 01:15:46.467000,0 days 01:16:19.511000,288.0,296.0,210.0,306.0,False,HARD,12.0,True,McLaren,0 days 01:14:50.019000,2025-12-07 13:19:57.082,1,2.0,False,,False,True,89.492,89.49199999999999
70,0 days 01:17:48.772000,PIA,81,0 days 00:01:29.261000,13.0,1.0,,,17.917,38.443,32.901,0 days 01:16:37.428000,0 days 01:17:15.871000,0 days 01:17:48.772000,,296.0,211.0,306.0,True,HARD,13.0,True,McLaren,0 days 01:16:19.511000,2025-12-07 13:21:26.574,1,2.0,False,,False,True,89.261,89.261
71,0 days 01:19:18.397000,PIA,81,0 days 00:01:29.625000,14.0,1.0,,,17.87,38.583,33.172,0 days 01:18:06.642000,0 days 01:18:45.225000,0 days 01:19:18.397000,290.0,297.0,209.0,305.0,False,HARD,14.0,True,McLaren,0 days 01:17:48.772000,2025-12-07 13:22:55.835,1,2.0,False,,False,True,89.625,89.625
72,0 days 01:20:47.933000,PIA,81,0 days 00:01:29.536000,15.0,1.0,,,17.848,38.7,32.988,0 days 01:19:36.245000,0 days 01:20:14.945000,0 days 01:20:47.933000,291.0,297.0,208.0,305.0,False,HARD,15.0,True,McLaren,0 days 01:19:18.397000,2025-12-07 13:24:25.460,1,2.0,False,,False,True,89.536,89.536
73,0 days 01:22:17.614000,PIA,81,0 days 00:01:29.681000,16.0,1.0,,,17.974,38.729,32.978,0 days 01:21:05.907000,0 days 01:21:44.636000,0 days 01:22:17.614000,290.0,295.0,210.0,304.0,False,HARD,16.0,True,McLaren,0 days 01:20:47.933000,2025-12-07 13:25:54.996,1,2.0,False,,False,True,89.681,89.68100000000001
74,0 days 01:23:47.149000,PIA,81,0 days 00:01:29.535000,17.0,1.0,,,17.917,38.628,32.99,0 days 01:22:35.531000,0 days 01:23:14.159000,0 days 01:23:47.149000,,296.0,210.0,305.0,False,HARD,17.0,True,McLaren,0 days 01:22:17.614000,2025-12-07 13:27:24.677,1,2.0,False,,False,True,89.535,89.535
